,ts_code,name,market,publisher,category,base_date,base_point,list_date
248,h11103.CSI,香港内地50人民币,CSI,中证指数有限公司,规模指数,20041231,1000.0,20081110
249,h11105.CSI,非台海外,CSI,中证指数有限公司,规模指数,20041231,1000.0,20081110
250,h11106.CSI,非台华股,CSI,中证指数有限公司,规模指数,20041231,1000.0,20081110
251,h11108.CSI,两岸三地,CSI,中证指数有限公司,规模指数,20041231,1000.0,20100118
252,h11115.CSI,非台海外美元,CSI,中证指数有限公司,规模指数,20041231,1000.0,20081110
253,h11116.CSI,非台华股美元,CSI,中证指数有限公司,规模指数,20041231,1000.0,20081110
254,h11118.CSI,两岸三地美元,CSI,中证指数有限公司,规模指数,20041231,1000.0,20100118
255,h11123.CSI,香港内地50,CSI,中证指数有限公司,规模指数,20041231,1000.0,20081110
256,h11125.CSI,非台海外港元,CSI,中证指数有限公司,规模指数,20041231,1000.0,20081110
257,h11126.CSI,非台华股港元,CSI,中证指数有限公司,规模指数,20041231,1000.0,20081110
258,h11128.CSI,两岸三地港元,CSI,中证指数有限公司,规模指数,20041231,1000.0,20100118
259,h11134.CSI,中证中国东盟180,CSI,中证指数有限公司,规模指数,20041231,1000.0,20110812
260,h11135.CSI,中证中国东盟180美元,CSI,中证指数有限公司,规模指数,20041231,1000.0,20110812
261,h11138.CSI,两岸三地新台币,CSI,中证指数有限公司,规模指数,20041231,1000.0,20100118
262,h11164.CSI,中证香港300,CSI,中证指数有限公司,规模指数,20041231,1000.0,20120720
263,h11165.CSI,中证香港200,CSI,中证指数有限公司,规模指数,20041231,1000.0,20120720
264,h11166.CSI,中证HK300内地,CSI,中证指数有限公司,规模指数,20041231,1000.0,20121016
265,h11167.CSI,中证HK300本地,CSI,中证指数有限公司,规模指数,20041231,1000.0,20121016
266,h11168.CSI,中证香港300人民币,CSI,中证指数有限公司,规模指数,20041231,1000.0,20120720
267,h11169.CSI,中证香港200人民币,CSI,中证指数有限公司,规模指数,20041231,1000.0,20120720
268,h11170.CSI,中证HK300内地人民币,CSI,中证指数有限公司,规模指数,20041231,1000.0,20121016
269,h11171.CSI,中证HK300本地人民币,CSI,中证指数有限公司,规模指数,20041231,1000.0,20121016
270,h11181.CSI,中证金砖国家,CSI,中证指数有限公司,规模指数,20051230,1000.0,20121016
271,h11182.CSI,中证金砖USD,CSI,中证指数有限公司,规模指数,20051230,1000.0,20121016
272,h11183.CSI,中证金砖(HK),CSI,中证指数有限公司,规模指数,20051230,1000.0,20121016
273,h11184.CSI,中证金砖(HK) U,CSI,中证指数有限公司,规模指数,20051230,1000.0,20121016
274,h20133.CSI,金砖DR全收益,CSI,中证指数有限公司,规模指数,20051230,1000.0,20130712
275,h20134.CSI,金砖DR U全收益,CSI,中证指数有限公司,规模指数,20051230,1000.0,20130712
276,h20332.CSI,香港50(全),CSI,中证指数有限公司,规模指数,20041231,1000.0,20140521
277,h20342.CSI,香港50(全)CNY,CSI,中证指数有限公司,规模指数,20041231,1000.0,20140521
278,h20374.CSI,中国内地全指(全),CSI,中证指数有限公司,规模指数,20041231,1000.0,20140731
279,h20385.CSI,中国内地全指(全)USD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20140731
280,h20455.CSI,沪港深500(全),CSI,中证指数有限公司,规模指数,20041231,1000.0,20141128
281,h20456.CSI,沪港深通中小(全),CSI,中证指数有限公司,规模指数,20041231,1000.0,20141128
282,h20457.CSI,沪港深通综合(全),CSI,中证指数有限公司,规模指数,20041231,1000.0,20141128
283,h20488.CSI,沪港深500(全)HKD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20141128
284,h20489.CSI,沪港深通中小(全)HKD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20141128
